match_tier,field_name,n
pair,address,0
pair,city,0
pair,scity,0
pair,lat,0
pair,lon,0
pair,sqft,0
pair,building_area,0
pair,yearbuilt,0
pair,zoning,0
singleton,address,0
singleton,city,0
singleton,scity,0
singleton,lat,0
singleton,lon,0
singleton,sqft,0
singleton,building_area,0
singleton,yearbuilt,0
singleton,zoning,0
