match_tier,field_name,parcelnumb,unidata_scity,unidata_value,gpkg_value,comparison
pair,yearbuilt,01501037,San Jose,[blank],,Unidata missing; GPKG empty
pair,zoning,01501037,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01501039,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501039,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501040,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01501041,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501041,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01501042,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01501042,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502002,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502004,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502007,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502009,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01502010,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502010,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502012,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502021,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502022,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502023,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502025,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01502026,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502026,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01502027,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502027,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502028,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502030,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502033,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502041,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502042,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502043,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01502044,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502044,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502045,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01502048,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503002,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503003,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503004,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01503007,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503007,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503016,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503019,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503020,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503021,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503022,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503023,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503025,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503028,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503029,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503033,San Jose,[blank],,Unidata missing; GPKG empty
pair,zoning,01503039,San Jose,[blank],,Unidata missing; GPKG empty
pair,zoning,01503040,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01503042,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01503043,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01504005,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01504006,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01504011,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01504011,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01504013,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01504014,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01504015,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01504020,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01504021,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01504022,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01504022,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01505001,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01505002,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01505027,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01505032,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01505042,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01505079,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01505137,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01505139,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01505146,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01505146,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01506023,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01506024,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01506087,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01506137,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01506140,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01506143,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01506146,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01506152,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01506158,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01506161,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01506165,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01506177,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01507001,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01507002,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01507006,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01507006,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01507007,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01507007,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01507008,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01507008,San Jose,[blank],,Unidata missing; GPKG empty
